nama,wilayah
Kabupaten Bandung,Wilayah VIII
Kabupaten Bandung Barat,Wilayah VI
Kabupaten Bekasi,Wilayah III
Kabupaten Bogor,Wilayah I
Kabupaten Ciamis,Wilayah XIII
Kabupaten Cianjur,Wilayah VI
Kabupaten Cirebon,Wilayah X
Kabupaten Garut,Wilayah XI
Kabupaten Indramayu,Wilayah IX
Kabupaten Karawang,Wilayah IV
Kabupaten Kuningan,Wilayah X
Kabupaten Majalengka,Wilayah IX
Kabupaten Pangandaran,Wilayah XIII
Kabupaten Purwakarta,Wilayah IV
Kabupaten Subang,Wilayah IV
Kabupaten Sukabumi,Wilayah V
Kabupaten Sumedang,Wilayah VIII
Kabupaten Tasikmalaya,Wilayah XII
Kota Bandung,Wilayah VII
Kota Banjar,Wilayah XIII
Kota Bekasi,Wilayah III
Kota Bogor,Wilayah II
Kota Cimahi,Wilayah VII
Kota Cirebon,Wilayah X
Kota Depok,Wilayah II
Kota Sukabumi,Wilayah V
Kota Tasikmalaya,Wilayah XII
